model,metric,estimate,ci95_low,ci95_high
dummy_10km,mae,0.5275590551181102,0.24242424242424243,0.9565448658649396
dummy_10km,rmse,1.5292425174462532,0.9581102182979241,2.1200844382595796
dummy_10km,r2,-0.13508877520312979,-0.26730114329020227,-0.06325531017307817
dummy_10km,mean_bias,0.5275590551181102,0.24242424242424243,0.9565448658649396
dummy_10km,low_visibility_mae,3.0454545454545454,1.8620689655172413,5.043527667984189
dummy_10km,ceiling_label_mae,0.0,0.0,0.0
dummy_10km,balanced_regime_mae,1.5227272727272727,0.9310344827586207,2.5217638339920945
dummy_10km,date_macro_mae,0.7681159420289854,0.358695652173913,1.2934782608695652
dummy_10km,within_1km,0.9133858267716536,0.8301886792452831,0.9689922480620154
weather_ridge,mae,0.958228163819545,0.7226454004472529,1.295097493381962
weather_ridge,rmse,1.5192565110910392,1.0477151814770098,2.0341640772659977
weather_ridge,r2,-0.12031283925903735,-0.3169008309074505,-0.056913502847901816
weather_ridge,mean_bias,-0.0544718276952255,-0.3798570306470056,0.43395260099265653
weather_ridge,low_visibility_mae,2.6085694247224684,1.3909657386663294,4.654255159777424
weather_ridge,ceiling_label_mae,0.6124423758208375,0.48991062330609425,0.7027523137992029
weather_ridge,balanced_regime_mae,1.610505900271653,1.0018022656885828,2.628802716528642
weather_ridge,date_macro_mae,1.0925201043897557,0.7319080803119389,1.5618848663744849
weather_ridge,within_1km,0.889763779527559,0.793796658371845,0.9573203165542293
image_pca_ridge,mae,0.9486451900588857,0.6690104011504038,1.3170312899549421
image_pca_ridge,rmse,1.5304094364443295,1.0831824192348822,2.0314485703752565
image_pca_ridge,r2,-0.13682174038799189,-0.4558413371851149,-0.017163212355570577
image_pca_ridge,mean_bias,-0.12489057245420108,-0.4444705676774856,0.3278455485310448
image_pca_ridge,low_visibility_mae,2.4796785675936452,1.284515472977119,4.4237731867956445
image_pca_ridge,ceiling_label_mae,0.6278572442896978,0.44611864345402147,0.7807827947648913
image_pca_ridge,balanced_regime_mae,1.5537679059416716,0.9531350407397283,2.51187981733621
image_pca_ridge,date_macro_mae,1.1447741139677456,0.7921378220166738,1.5900765001248458
image_pca_ridge,within_1km,0.7401574803149606,0.6249732905982907,0.8323361946626977
fusion_pca_ridge,mae,0.9573822799889662,0.6746738634517617,1.3313221579623165
fusion_pca_ridge,rmse,1.5411107704001794,1.091151568490212,2.0483213174252066
fusion_pca_ridge,r2,-0.1527756965619007,-0.4784448293964759,-0.024757581644752724
fusion_pca_ridge,mean_bias,-0.12796890618590376,-0.44856581021886327,0.3341844977354592
fusion_pca_ridge,low_visibility_mae,2.491421023991319,1.2875135675510412,4.437905875483988
fusion_pca_ridge,ceiling_label_mae,0.6359646383884733,0.45226446424213806,0.7958479383121362
fusion_pca_ridge,balanced_regime_mae,1.563692831189896,0.957825596663748,2.5245312156566335
fusion_pca_ridge,date_macro_mae,1.1502039404867783,0.7881640300974108,1.6088824105011927
fusion_pca_ridge,within_1km,0.7401574803149606,0.6249732905982907,0.8323361946626977
fusion_pca_xgboost,mae,0.8927312460471326,0.6571538594943928,1.2402793381118244
fusion_pca_xgboost,rmse,1.4866458728939058,1.0070272776581943,2.006195576369812
fusion_pca_xgboost,r2,-0.07273428167346863,-0.21390579562690568,-0.023307926659777014
fusion_pca_xgboost,mean_bias,-0.02442452288049407,-0.3258595464880019,0.42298957627314443
fusion_pca_xgboost,low_visibility_mae,2.5102553367614746,1.2578928227865982,4.604615131616592
fusion_pca_xgboost,ceiling_label_mae,0.5538214365641276,0.4768992439560268,0.6367767391816113
fusion_pca_xgboost,balanced_regime_mae,1.5320383866628011,0.9058259946557424,2.5776674569464872
fusion_pca_xgboost,date_macro_mae,1.076069080155639,0.7298072766490683,1.5238908080926346
fusion_pca_xgboost,within_1km,0.8740157480314961,0.7899963768115943,0.940677966101695
nested_svr_mae,mae,0.6514178138359764,0.39005746275632963,1.0431412763379913
nested_svr_mae,rmse,1.4535487651730417,0.9201271423035643,2.005781825455299
nested_svr_mae,r2,-0.025501532393022552,-0.13522879072798835,0.04061589836454371
nested_svr_mae,mean_bias,0.3026033463593259,0.028544303573291914,0.7065889196939332
nested_svr_mae,low_visibility_mae,2.7536519851091685,1.5866583512580579,4.7202925820594706
nested_svr_mae,ceiling_label_mae,0.2109497017596887,0.16703957213417528,0.28430401953651674
nested_svr_mae,balanced_regime_mae,1.4823008434344287,0.8979821605675461,2.462897049056457
nested_svr_mae,date_macro_mae,0.8720113510556619,0.5001985305859917,1.348247357859249
nested_svr_mae,within_1km,0.9133858267716536,0.8301886792452831,0.9689922480620154
nested_svr_balanced,mae,0.7308192581446682,0.4939361498094182,1.0721414260857045
nested_svr_balanced,rmse,1.4217866359517364,0.9688431660723099,1.901609910875145
nested_svr_balanced,r2,0.018826169892887767,-0.14652002129733474,0.08447660712277039
nested_svr_balanced,mean_bias,0.1308803484294238,-0.14284220828783573,0.5331111311407489
nested_svr_balanced,low_visibility_mae,2.490838952021403,1.3357232949917257,4.446237350487092
nested_svr_balanced,ceiling_label_mae,0.36205322704668585,0.28136993255074555,0.440988458254712
nested_svr_balanced,balanced_regime_mae,1.4264460895340445,0.8485407186470005,2.394150172348074
nested_svr_balanced,date_macro_mae,0.9106353696529308,0.5702033534182077,1.327896359877618
nested_svr_balanced,within_1km,0.8976377952755905,0.8204954954954955,0.9551305970149254
transfer_weighted_ridge_reference,mae,1.0368294992895513,0.7076433179639972,1.5004457792214283
transfer_weighted_ridge_reference,rmse,1.6274782319150918,1.1404885168791778,2.1875667537781336
transfer_weighted_ridge_reference,r2,-0.28560477706050835,-0.6627673924314442,-0.09979365882616076
transfer_weighted_ridge_reference,mean_bias,-0.020988822158232615,-0.3812600205525559,0.4384260371407137
transfer_weighted_ridge_reference,low_visibility_mae,2.6436772510609567,1.3954907699239005,4.618216552124708
transfer_weighted_ridge_reference,ceiling_label_mae,0.7001566370136377,0.4923986139197492,0.956921131273419
transfer_weighted_ridge_reference,balanced_regime_mae,1.6719169440372972,1.0315364885371059,2.6545141311488396
transfer_weighted_ridge_reference,date_macro_mae,1.303620351827256,0.9053506885413871,1.7963491990091172
transfer_weighted_ridge_reference,within_1km,0.6614173228346457,0.5,0.7902180589680589
