outer_fold,outer_held_out_date,selection_objective,name,feature_mode,pca_components,C,epsilon,inner_mae,inner_balanced_regime_mae
1,2026-05-27,mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6895381269126856,1.456060491000338
1,2026-05-27,balanced_regime_mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6895381269126856,1.456060491000338
2,2026-05-28,mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6732078688812821,1.4616618037079392
2,2026-05-28,balanced_regime_mae,image_svr_pc3_C30.0_e0.5,image,3,30.0,0.5,0.8206476566097965,1.4565951960166534
3,2026-05-29,mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6664720817369633,1.470009922362174
3,2026-05-29,balanced_regime_mae,image_svr_pc2_C30.0_e0.75,image,2,30.0,0.75,0.8971773524687676,1.445939465176168
4,2026-06-01,mae,image_svr_pc2_C10.0_e0.25,image,2,10.0,0.25,0.6688794937625037,1.4773214347056707
4,2026-06-01,balanced_regime_mae,image_svr_pc3_C30.0_e0.25,image,3,30.0,0.25,0.7045031085217469,1.446664797890497
5,2026-06-02,mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6649965672696768,1.4703244766847927
5,2026-06-02,balanced_regime_mae,image_svr_pc2_C30.0_e0.75,image,2,30.0,0.75,0.8857140347035688,1.444283840717314
6,2026-06-03,mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6367445677968199,1.6797455876812688
6,2026-06-03,balanced_regime_mae,image_svr_pc3_C30.0_e0.25,image,3,30.0,0.25,0.6529460162081011,1.6343449110223927
7,2026-06-04,mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6460674745579762,1.604195573411577
7,2026-06-04,balanced_regime_mae,image_svr_pc3_C30.0_e0.5,image,3,30.0,0.5,0.780105023601095,1.577774415931497
8,2026-06-05,mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6249725458010102,1.4046687739072248
8,2026-06-05,balanced_regime_mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6249725458010102,1.4046687739072248
9,2026-06-09,mae,image_svr_pc3_C10.0_e0.25,image,3,10.0,0.25,0.6794207610714161,1.4787483695794936
9,2026-06-09,balanced_regime_mae,image_svr_pc3_C30.0_e0.5,image,3,30.0,0.5,0.8128091993784553,1.462892026906799
10,2026-06-10,mae,image_svr_pc2_C10.0_e0.25,image,2,10.0,0.25,0.6185555625505897,1.3902965783913495
10,2026-06-10,balanced_regime_mae,image_svr_pc3_C30.0_e0.5,image,3,30.0,0.5,0.7467069388432174,1.3775168808527574
11,2026-06-11,mae,image_svr_pc2_C10.0_e0.25,image,2,10.0,0.25,0.6714269159615782,1.4764284343635443
11,2026-06-11,balanced_regime_mae,image_svr_pc3_C30.0_e0.25,image,3,30.0,0.25,0.7074004296848546,1.437118586064726
12,2026-06-12,mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6363550627701662,1.4149993412595057
12,2026-06-12,balanced_regime_mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6363550627701662,1.4149993412595057
13,2026-06-13,mae,image_svr_pc2_C10.0_e0.25,image,2,10.0,0.25,0.7408503968616537,1.5162194839254486
13,2026-06-13,balanced_regime_mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.7512597946582753,1.4985504887835994
14,2026-06-15,mae,image_svr_pc3_C10.0_e0.25,image,3,10.0,0.25,0.6654787997849111,1.4704203131169797
14,2026-06-15,balanced_regime_mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6827992617559577,1.4579410750357358
15,2026-06-16,mae,image_svr_pc3_C10.0_e0.25,image,3,10.0,0.25,0.6330614316694615,1.418870003882207
15,2026-06-16,balanced_regime_mae,image_svr_pc3_C30.0_e0.5,image,3,30.0,0.5,0.7702606481774741,1.4000665665150716
16,2026-06-17,mae,image_svr_pc3_C10.0_e0.25,image,3,10.0,0.25,0.6311984637967274,1.4237458917971029
16,2026-06-17,balanced_regime_mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.6502890613680454,1.409672403045494
17,2026-06-18,mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.5820057282630062,1.3715291979822328
17,2026-06-18,balanced_regime_mae,image_svr_pc2_C30.0_e0.75,image,2,30.0,0.75,0.848362625636666,1.3577499655582863
18,2026-06-19,mae,fusion_svr_pc3_C3.0_e0.25,fusion,3,3.0,0.25,0.6249602963564914,1.4326068782198385
18,2026-06-19,balanced_regime_mae,image_svr_pc3_C30.0_e0.25,image,3,30.0,0.25,0.6443040677146434,1.3867812851737684
19,2026-06-22,mae,image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,0.7067791251106458,1.4657834207402987
