model,reference,metric,difference_model_minus_dummy,ci95_low,ci95_high,interval_excludes_zero,direction
weather_ridge,dummy_10km,mae,0.4306691087014348,0.2381369934172093,0.5719918116055216,True,lower_is_better
weather_ridge,dummy_10km,rmse,-0.0099860063552139,-0.1067077796924234,0.1105916171767241,False,lower_is_better
weather_ridge,dummy_10km,r2,0.0147759359440924,-0.2483290938272524,0.1335486117278863,False,higher_is_better
weather_ridge,dummy_10km,mean_bias,-0.5820308828133357,-0.6640636565604173,-0.4765497118524644,True,lower_is_better
weather_ridge,dummy_10km,low_visibility_mae,-0.4368851207320769,-0.5091576695011031,-0.340352901962293,True,lower_is_better
weather_ridge,dummy_10km,ceiling_label_mae,0.6124423758208375,0.4899106233060942,0.7027523137992029,True,lower_is_better
weather_ridge,dummy_10km,balanced_regime_mae,0.0877786275443803,0.0157005751975947,0.1549720458206416,True,lower_is_better
weather_ridge,dummy_10km,date_macro_mae,0.3244041623607703,0.1808516837918366,0.466547977145419,True,lower_is_better
weather_ridge,dummy_10km,within_1km,-0.0236220472440945,-0.0818181818181817,0.0,False,higher_is_better
image_pca_ridge,dummy_10km,mae,0.4210861349407755,0.2247960190348264,0.5876889889968052,True,lower_is_better
image_pca_ridge,dummy_10km,rmse,0.0011669189980763,-0.128340054180125,0.167422107581627,False,lower_is_better
image_pca_ridge,dummy_10km,r2,-0.0017329651848621,-0.3799951468453447,0.1615436159740612,False,higher_is_better
image_pca_ridge,dummy_10km,mean_bias,-0.6524496275723113,-0.7913891890801802,-0.4906179613147594,True,lower_is_better
image_pca_ridge,dummy_10km,low_visibility_mae,-0.5657759778609002,-0.7099281470576149,-0.4503175617039828,True,lower_is_better
image_pca_ridge,dummy_10km,ceiling_label_mae,0.6278572442896978,0.4461186434540214,0.7807827947648913,True,lower_is_better
image_pca_ridge,dummy_10km,balanced_regime_mae,0.0310406332143988,-0.0832843716370506,0.1343899745989661,False,lower_is_better
image_pca_ridge,dummy_10km,date_macro_mae,0.3766581719387603,0.1968972847992341,0.5483917717098866,True,lower_is_better
image_pca_ridge,dummy_10km,within_1km,-0.1732283464566929,-0.2589285714285714,-0.0970855673090856,True,higher_is_better
fusion_pca_ridge,dummy_10km,mae,0.429823224870856,0.2357192415521692,0.5986600552391836,True,lower_is_better
fusion_pca_ridge,dummy_10km,rmse,0.0118682529539262,-0.1190609005013581,0.1756306073340685,False,lower_is_better
fusion_pca_ridge,dummy_10km,r2,-0.0176869213587709,-0.400087844024555,0.1524783496553009,False,higher_is_better
fusion_pca_ridge,dummy_10km,mean_bias,-0.6555279613040139,-0.7995427944876664,-0.4897645164440123,True,lower_is_better
fusion_pca_ridge,dummy_10km,low_visibility_mae,-0.5540335214632264,-0.709198630498789,-0.4200873017959853,True,lower_is_better
fusion_pca_ridge,dummy_10km,ceiling_label_mae,0.6359646383884733,0.452264464242138,0.7958479383121362,True,lower_is_better
fusion_pca_ridge,dummy_10km,balanced_regime_mae,0.0409655584626234,-0.0771150160409277,0.1521407829785207,False,lower_is_better
fusion_pca_ridge,dummy_10km,date_macro_mae,0.3820879984577929,0.2051348945379005,0.5541987513812671,True,lower_is_better
fusion_pca_ridge,dummy_10km,within_1km,-0.1732283464566929,-0.2589285714285714,-0.0970855673090856,True,higher_is_better
fusion_pca_xgboost,dummy_10km,mae,0.3651721909290224,0.200224243156288,0.4922157057901707,True,lower_is_better
fusion_pca_xgboost,dummy_10km,rmse,-0.0425966445523473,-0.1292722711117767,0.0641003952241937,False,lower_is_better
fusion_pca_xgboost,dummy_10km,r2,0.0623544935296611,-0.1385867644448165,0.1614332942252593,False,higher_is_better
fusion_pca_xgboost,dummy_10km,mean_bias,-0.5519835779986042,-0.6242808400403826,-0.4829125160285996,True,lower_is_better
fusion_pca_xgboost,dummy_10km,low_visibility_mae,-0.5351992086930708,-0.6322369762829367,-0.4088720189858669,True,lower_is_better
fusion_pca_xgboost,dummy_10km,ceiling_label_mae,0.5538214365641276,0.4768992439560268,0.6367767391816113,True,lower_is_better
fusion_pca_xgboost,dummy_10km,balanced_regime_mae,0.0093111139355284,-0.0502093301565277,0.0819311577476498,False,lower_is_better
fusion_pca_xgboost,dummy_10km,date_macro_mae,0.3079531381266536,0.1441415362448085,0.4580928507081298,True,lower_is_better
fusion_pca_xgboost,dummy_10km,within_1km,-0.0393700787401575,-0.0852713178294574,0.0,False,higher_is_better
nested_svr_mae,dummy_10km,mae,0.1238587587178662,0.0514487053274054,0.1912840539465594,True,lower_is_better
nested_svr_mae,dummy_10km,rmse,-0.0756937522732115,-0.1283939815873435,-0.0182338718538048,True,lower_is_better
nested_svr_mae,dummy_10km,r2,0.1095872428101072,0.0343294640102017,0.1669340408992478,True,higher_is_better
nested_svr_mae,dummy_10km,mean_bias,-0.2249557087587843,-0.2859987283963297,-0.1852207548227231,True,lower_is_better
nested_svr_mae,dummy_10km,low_visibility_mae,-0.2918025603453769,-0.3497245675776538,-0.2331571292224652,True,lower_is_better
nested_svr_mae,dummy_10km,ceiling_label_mae,0.2109497017596887,0.1670395721341752,0.2843040195365167,True,lower_is_better
nested_svr_mae,dummy_10km,balanced_regime_mae,-0.040426429292844,-0.0791898636657764,0.0055404671323625,False,lower_is_better
nested_svr_mae,dummy_10km,date_macro_mae,0.1038954090266764,0.0187422249162359,0.1966402797094312,True,lower_is_better
