name,feature_mode,pca_components,C,epsilon,n,mae,rmse,r2,median_absolute_error,mean_bias,macro_mae,low_visibility_mae,ceiling_label_mae,within_1km,within_2km,balanced_regime_mae,date_macro_mae
image_svr_pc2_C30.0_e0.25,image,2,30.0,0.25,127,0.6588689576609188,1.452523269470442,-0.0240550361145708,0.2566203549675503,0.2839487298082971,2.827608424345522,2.7213146888316007,0.2267374711299188,0.9133858267716536,0.9133858267716536,1.47402607998076,0.8743336599432421
image_svr_pc2_C10.0_e0.25,image,2,10.0,0.25,127,0.659206071342288,1.4554579424372909,-0.0281972107831769,0.2533499057028781,0.2981163007174283,2.8523140190913048,2.763180482990545,0.2183733374731294,0.9133858267716536,0.9133858267716536,1.4907769102318371,0.8773491724565183
fusion_svr_pc3_C3.0_e0.25,fusion,3,3.0,0.25,127,0.6937442034817566,1.4629009181612267,-0.0387401668715443,0.3085968811059008,0.2532753467884284,2.863730699698143,2.733442792825307,0.2663787847621556,0.905511811023622,0.9133858267716536,1.4999107887937313,0.9031883467473916
fusion_svr_pc2_C3.0_e0.25,fusion,2,3.0,0.25,127,0.6939436531946296,1.4774653412960734,-0.0595262097616096,0.2706957608208977,0.2778643233325251,2.9125498828902927,2.804991204976106,0.2516289280594632,0.9133858267716536,0.9133858267716536,1.528310066517785,0.9109247647024872
image_svr_pc3_C10.0_e0.25,image,3,10.0,0.25,127,0.7034177934403208,1.4494848260326425,-0.0197752025891675,0.2650985863142381,0.1977607156154997,2.8304689476249867,2.649331539298988,0.2957025324032666,0.8740157480314961,0.905511811023622,1.4725170358511277,0.8941991153197296
fusion_svr_pc2_C10.0_e0.25,fusion,2,10.0,0.25,127,0.7210258018640928,1.488267969611773,-0.0750765046592427,0.3542603347339099,0.2404076556939038,2.882635471384403,2.7750465706787635,0.2906595455410191,0.905511811023622,0.9133858267716536,1.5328530581098914,0.9430200284541924
image_svr_pc3_C30.0_e0.25,image,3,30.0,0.25,127,0.7389668301587479,1.4700924940120874,-0.0489780991752484,0.2772585046866247,0.1368479943656203,2.8147653363513534,2.6083482191108884,0.347286920092585,0.84251968503937,0.8976377952755905,1.4778175696017368,0.9088808167321432
fusion_svr_pc3_C10.0_e0.25,fusion,3,10.0,0.25,127,0.7522156474549038,1.4866839480534797,-0.0727892309424824,0.3662729163663272,0.1595297253960158,2.8127189827349453,2.631628689819699,0.3584338671498988,0.8661417322834646,0.905511811023622,1.495031278484799,0.948308602892518
image_svr_pc2_C30.0_e0.5,image,2,30.0,0.5,127,0.7864255123755247,1.417175071086023,0.0251807221722938,0.4796588034228328,0.0895660849154248,2.725701461100504,2.5284302921806945,0.4214340347020602,0.9133858267716536,0.9133858267716536,1.4749321634413777,0.9831117128312112
image_svr_pc3_C10.0_e0.5,image,3,10.0,0.5,127,0.825302768328372,1.4347958862025445,0.0007886782322256,0.4707849971764162,0.0164711357465507,2.7334813134350417,2.4971500743116803,0.4750109518366316,0.8740157480314961,0.905511811023622,1.486080513074156,0.9993155170729822
image_svr_pc2_C10.0_e0.5,image,2,10.0,0.5,127,0.8300926302816715,1.4274549274851736,0.0109872080482256,0.4932274355688975,0.0499394216958294,2.7427651989987605,2.540092513662332,0.4718069404304853,0.9133858267716536,0.9133858267716536,1.5059497270464086,1.0155195236986756
fusion_svr_pc2_C10.0_e0.5,fusion,2,10.0,0.5,127,0.8331346350634413,1.464731326912846,-0.0413411749799284,0.5019547433618889,0.0541978219253034,2.8546735377884973,2.561164137217513,0.4710713108025883,0.905511811023622,0.9133858267716536,1.5161177240100507,1.0241345539205855
image_svr_pc3_C30.0_e0.5,image,3,30.0,0.5,127,0.8335863295888621,1.4666000409132034,-0.0439999699917728,0.4582778924973425,-0.0154086494545264,2.761336526737136,2.478831949365297,0.4888681997309422,0.8110236220472441,0.889763779527559,1.4838500745481198,0.9958394437392591
image_svr_pc2_C30.0_e0.75,image,2,30.0,0.75,127,0.8449594402926415,1.437881018372859,-0.0035129973854386,0.623087384409299,-0.0330617902463715,2.7679614892103914,2.3477369658965976,0.5300917682613364,0.8582677165354331,0.9133858267716536,1.438914367078967,1.0276804466541636
fusion_svr_pc2_C3.0_e0.5,fusion,2,3.0,0.5,127,0.8451650750823112,1.4398746087338112,-0.0062976237943601,0.5006798569095618,0.0383454855993411,2.7807711541149387,2.5501327546947703,0.4879337517349391,0.9133858267716536,0.9133858267716536,1.5190332532148547,1.0277104882380963
fusion_svr_pc3_C3.0_e0.5,fusion,3,3.0,0.5,127,0.8455078478441302,1.4413076741401387,-0.008301698232084,0.4876232483408369,0.0229410181429978,2.7606103330695144,2.506659226826483,0.497457082724018,0.8976377952755905,0.9133858267716536,1.5020581547752505,1.0231032405081983
fusion_svr_pc3_C10.0_e0.5,fusion,3,10.0,0.5,127,0.8559837817124155,1.495375239611738,-0.0853691451319971,0.4733186304464265,0.0041696132978805,2.8449928098472923,2.528595128155364,0.5055318805529408,0.8503937007874016,0.8976377952755905,1.517063504354152,1.028370318839171
image_svr_pc3_C30.0_e0.75,image,3,30.0,0.75,127,0.920298239901846,1.4993510422752665,-0.0911482297694619,0.5518301815280466,-0.1562786916126516,2.7255772688867803,2.3745548396768883,0.615596857091837,0.7559055118110236,0.8740157480314961,1.4950758483843627,1.05096524573074
image_svr_pc2_C10.0_e0.75,image,2,10.0,0.75,127,0.9360120849188698,1.4491486549139383,-0.0193022356281391,0.702026690269193,-0.1250340261074744,2.791888709663471,2.3407775788419825,0.6416802671445035,0.9133858267716536,0.9133858267716536,1.491228922993243,1.102937610257832
image_svr_pc3_C10.0_e0.75,image,3,10.0,0.75,127,0.9386529983783212,1.4674943687011466,-0.0452736135682549,0.6466260280846932,-0.1556615189543177,2.7964730243996927,2.357885007356349,0.6412901012591151,0.7952755905511811,0.889763779527559,1.499587554307732,1.092196791032684
