model,family,n,mae,rmse,r2,median_absolute_error,mean_bias,macro_mae,low_visibility_mae,ceiling_label_mae,within_1km,within_2km,balanced_regime_mae,feature_mode,pca_components,C,epsilon,alpha,weight_beta
dummy_10km,dummy,127,0.5275590551181102,1.5292425174462532,-0.13508877520312979,0.0,0.5275590551181102,3.0,3.0454545454545454,0.0,0.9133858267716536,0.9133858267716536,1.5227272727272727,,,,,,
image_svr_pc2_C30.0_e0.25,svr,127,0.6501919145270446,1.446430836751746,-0.015482502782185437,0.23423807146289022,0.3001378130171719,2.828945709734315,2.7429971681389884,0.2116993851988278,0.9133858267716536,0.9133858267716536,1.4773482766689081,image,2.0,30.0,0.25,,
image_svr_pc2_C10.0_e0.25,svr,127,0.6621788585376298,1.4653353550114832,-0.0422002117360063,0.23849995687118053,0.30331113773257706,2.918553170682873,2.786755216507188,0.2170295263916272,0.9133858267716536,0.9133858267716536,1.5018923714494077,image,2.0,10.0,0.25,,
image_svr_pc2_C3.0_e0.25,svr,127,0.6793969375097334,1.462614329241875,-0.038333218924945234,0.2471237277929479,0.2888827718290637,2.89799541734625,2.7948073428642557,0.23616809067354783,0.9133858267716536,0.9133858267716536,1.5154877167689018,image,2.0,3.0,0.25,,
image_svr_pc3_C3.0_e0.25,svr,127,0.6804264917937327,1.4668424702971161,-0.04434514547371737,0.2514627107530867,0.2820823966119193,2.9103656507863325,2.7781506551708595,0.240903333752811,0.9133858267716536,0.9133858267716536,1.5095269944618352,image,3.0,3.0,0.25,,
image_svr_pc3_C10.0_e0.25,svr,127,0.6835452831601122,1.456528334576021,-0.029710107691854004,0.26303996842497845,0.25403708772485295,2.8303197692250586,2.706203661417967,0.2597501943822758,0.905511811023622,0.9133858267716536,1.4829769279001215,image,3.0,10.0,0.25,,
fusion_svr_pc2_C3.0_e0.25,svr,127,0.6838998146923371,1.469238039183001,-0.047759068496926904,0.2643152271274438,0.2764519972442261,2.900580094302048,2.7719245480896255,0.2464089181710005,0.9133858267716536,0.9133858267716536,1.509166733130313,fusion,2.0,3.0,0.25,,
fusion_svr_pc2_C1.0_e0.25,svr,127,0.685703414602992,1.4630719131847092,-0.03898301281931382,0.25344551580342767,0.2804614182073686,2.8896263108846987,2.7887030401571775,0.24507492162973418,0.9133858267716536,0.9133858267716536,1.5168889808934558,fusion,2.0,1.0,0.25,,
image_svr_pc2_C1.0_e0.25,svr,127,0.6870837545318278,1.461793204241461,-0.03716768674234028,0.2488970127133161,0.2812738467883351,2.8824240708100266,2.7950321674468337,0.24541837277820736,0.9133858267716536,0.9133858267716536,1.5202252701125205,image,2.0,1.0,0.25,,
fusion_svr_pc2_C0.3_e0.25,svr,127,0.6893383170952891,1.4619657053129531,-0.03741248620259263,0.25107656810242673,0.2784387288390879,2.8793517938080138,2.7933564734924063,0.24849641765970265,0.9133858267716536,0.9133858267716536,1.5209264455760545,fusion,2.0,0.3,0.25,,
